event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i2019_000749,2019-06-18 22:22:19.98,2019,6.7,13.99,kriging,0.3774532813453513,0.2902096997577508,0.6684782608695652,0.994639902564574,0.33637034161490675,24.019091078068456,1051
i2021_000191,2021-02-13 23:07:50.51,2021,7.3,55.38,gmpe_calibrated,0.526310600657325,0.4092690804139739,0.5948156278105516,0.9567746560982586,0.4540840256309131,25.752392993862784,2216
i2021_000191,2021-02-13 23:07:50.51,2021,7.3,55.38,gmpe_kriging,0.3665464432674628,0.2838428213868257,0.697328616110342,0.9930057969420978,0.30996431536446656,25.752392993862784,2216
i2021_000191,2021-02-13 23:07:50.51,2021,7.3,55.38,gmpe_raw,0.5327533210601626,0.41639554445909477,0.5974137758213389,0.9540881527832228,0.4571042574029618,0.0,2216
i2021_000191,2021-02-13 23:07:50.51,2021,7.3,55.38,idw,0.3575683448535508,0.275128289444053,0.7080465525761994,0.993739068376225,0.3003384094754653,25.752392993862784,2216
i2021_000191,2021-02-13 23:07:50.51,2021,7.3,55.38,kriging,0.3666609414760874,0.2826070106395439,0.6977720830728715,0.9926677946982516,0.3101225016118633,25.752392993862784,2216
i2022_000392,2022-03-16 23:36:32.63,2022,7.4,56.61,gmpe_calibrated,0.5625187030102534,0.4413701812665247,0.5701583909183436,0.9400098613337319,0.49612590489689923,26.744261859125707,2305
i2022_000392,2022-03-16 23:36:32.63,2022,7.4,56.61,gmpe_kriging,0.3672003544981042,0.28155199824062616,0.6786378771720551,0.9908442094483746,0.3303502386386101,26.744261859125707,2305
i2022_000392,2022-03-16 23:36:32.63,2022,7.4,56.61,gmpe_raw,0.5675773370481486,0.4484965153969118,0.551371516407497,0.9444143167028201,0.5096854058604641,0.0,2305
i2022_000392,2022-03-16 23:36:32.63,2022,7.4,56.61,idw,0.36119748631619175,0.2771428419992298,0.6834404332964653,0.9913269731136166,0.32414795372017935,26.744261859125707,2305
i2022_000392,2022-03-16 23:36:32.63,2022,7.4,56.61,kriging,0.3678522846924573,0.2815476166316233,0.6772432970724576,0.9913219525481252,0.33004025723749414,26.744261859125707,2305
